Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress ScoreÂ®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,29/07/2023,FALSE,Cooranbong Running,4.96,408,0:27:58,186,200,159,166,5:39,4:53,5,13,1.12,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,05:17.3,5,0,0:27:45,0:27:58,16,31
Running,27/07/2023,FALSE,Blackalls Park Running,4.83,379,0:28:29,171,188,161,187,5:54,3:59,27,43,1.05,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,04:18.5,5,0,0:28:27,0:28:29,-62,-35
Running,23/07/2023,FALSE,Cooranbong Running,15.29,"1,199",2:00:56,162,188,155,170,7:55,4:42,55,103,0.81,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:25.5,16,0,2:00:45,2:00:56,-35,40
Running,22/07/2023,FALSE,Cooranbong Running,4.91,397,0:28:08,185,199,159,185,5:44,4:05,6,15,1.1,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,05:08.8,5,0,0:27:45,0:28:08,17,32
Running,19/07/2023,FALSE,Blackalls Park Running,4.77,374,0:28:11,176,196,157,172,5:55,4:10,32,44,1.08,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,03:57.4,5,0,0:27:46,0:28:11,23,49
Running,17/07/2023,FALSE,Cooranbong Running,5.28,474,0:47:06,154,167,146,168,8:55,5:41,47,62,0.77,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:35.0,6,0,0:47:04,0:47:06,8,43
Running,13/07/2023,FALSE,Cooranbong Running,5.13,401,0:35:41,155,186,141,177,6:57,3:31,64,75,1.01,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:42.0,6,0,0:35:18,0:37:21,1,45
Running,11/07/2023,FALSE,Cooranbong Running,12.01,"1,091",1:24:18,175,200,156,171,7:01,4:13,138,190,0.91,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:03.4,13,0,1:24:13,1:24:18,-48,47
Cardio,8/07/2023,FALSE,Cardio,0,327,0:25:46,158,183,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,25:46.3,1,0,0:00:00,0:25:46,-15,-15
Cardio,5/07/2023,FALSE,Cardio,0,221,0:16:31,163,171,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,16:31.2,1,0,0:00:00,0:16:31,-15,-15
Cardio,5/07/2023,FALSE,Cardio,0,296,0:40:39,118,196,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,40:38.6,1,0,0:00:00,0:40:39,-23,-15
Cardio,29/06/2023,FALSE,Cardio,0,160,0:17:08,133,176,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,17:08.5,1,0,0:00:00,0:17:15,-23,-6
Running,27/06/2023,FALSE,Cooranbong Running,7.82,638,0:48:09,172,197,159,183,6:09,3:57,75,77,1.02,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,05:25.8,8,0,0:48:01,1:23:13,-6,43
Running,25/06/2023,FALSE,Cooranbong Running,1.5,93,08:17.8,151,192,149,234,5:32,3:56,16,9,1.21,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:56.3,2,0,08:17.5,08:17.8,35,46
Running,21/06/2023,FALSE,Blackalls Park Running,4.91,434,0:34:54,165,195,141,177,7:06,4:05,32,36,1.01,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,05:26.9,5,0,0:31:50,0:34:54,-88,-67
Walking,20/06/2023,FALSE,Toronto Walking,3.53,263,0:33:53,114,138,117,130,9:36,8:03,34,47,0.89,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,05:48.2,4,0,0:33:30,0:33:53,-43,-16
Walking,20/06/2023,FALSE,Blackalls Park Walking,3.75,345,0:34:52,148,169,121,236,9:18,5:32,55,80,0.89,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,07:33.9,4,0,0:33:21,0:34:52,-24,23
Walking,19/06/2023,FALSE,Toronto Walking,1.72,137,0:16:45,112,138,111,136,9:45,7:50,7,31,0.93,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,06:26.5,2,0,0:15:20,0:16:45,0,31
Walking,19/06/2023,FALSE,Blackalls Park Walking,3.68,292,0:35:35,107,130,118,249,9:40,3:56,57,68,0.88,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,06:34.8,4,0,0:33:44,0:35:35,-7,29
Running,12/06/2023,FALSE,Cooranbong Running,5.01,472,0:33:14,182,200,157,163,6:38,5:29,30,43,0.96,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:04.7,6,0,0:33:11,0:40:15,1,42
Running,9/06/2023,FALSE,Cooranbong Running,6.01,568,0:41:32,181,197,156,163,6:55,5:23,58,67,0.93,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.8,7,0,0:41:30,0:41:32,-23,6
Running,5/06/2023,FALSE,Cooranbong Running,3.01,239,0:19:05,162,182,157,168,6:20,5:09,17,36,1.01,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:04.5,4,0,0:19:04,0:19:05,-19,14
Running,28/05/2023,FALSE,Cooranbong Running,4.01,348,0:26:48,163,196,153,167,6:41,5:00,55,60,0.97,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:03.6,5,0,0:26:48,0:26:48,-5,31
Running,12/04/2023,FALSE,Newcastle Running,3.53,376,0:29:03,166,193,125,174,8:13,5:04,92,96,0.95,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,03:29.5,4,0,0:27:40,0:29:03,28,85
Running,1/04/2023,FALSE,Kulnura Running,0.82,183,0:30:37,108,150,16,193,37:27:00,5:26,--,30,1.71,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,30:36.1,1,0,0:06:59,0:30:37,294,329
Cycling,18/03/2023,FALSE,Newcastle Cycling,42.39,"1,475",2:20:28,164,193,--,--,18.1,52.7,357,384,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,10:01.0,9,0,2:09:46,2:28:43,-10,96
Cycling,12/03/2023,FALSE,Newcastle Cycling,21.02,667,0:57:15,161,189,--,--,22,53.3,157,173,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,03:41.5,5,0,0:54:32,0:57:15,6,82
Cycling,10/03/2023,FALSE,Newcastle Cycling,20.61,675,0:56:59,162,182,--,--,21.7,46.7,155,156,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:29.0,5,0,0:53:21,0:56:59,9,83
Cycling,5/03/2023,FALSE,Newcastle Cycling,36.88,"1,147",1:38:51,161,188,--,--,22.4,54.2,253,236,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,07:30.7,8,0,1:34:54,2:25:00,10,92
Cardio,15/02/2023,FALSE,Cardio,0,279,1:00:26,105,130,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:26.3,1,0,0:00:00,1:00:26,-270,-270
Running,12/02/2023,FALSE,Cooranbong Running,4.68,401,0:30:44,177,193,159,163,6:34,5:25,15,13,0.96,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,04:29.4,5,0,0:30:43,0:30:44,-211,-195
Running,1/02/2023,FALSE,Blackalls Park Running,5.01,402,0:29:59,174,196,160,169,5:59,5:15,19,21,1.05,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:03.2,6,0,0:29:44,0:29:59,-73,-63
Running,30/01/2023,FALSE,Blackalls Park Running,5.01,380,0:29:57,171,192,159,171,5:59,4:46,23,29,1.05,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:03.1,6,0,0:29:56,0:29:57,-27,-14
Cardio,29/01/2023,FALSE,Cardio,0,356,1:08:24,112,144,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,08:24.0,1,0,0:00:00,1:08:24,26,26
Running,26/01/2023,FALSE,Newcastle Running,5.27,543,0:41:42,171,193,136,173,7:54,5:12,110,101,0.93,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:27.5,6,0,0:40:49,0:41:42,27,77
Running,23/01/2023,FALSE,Newcastle Running,4.6,402,0:30:40,174,191,157,167,6:40,5:13,64,64,0.95,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,03:44.8,5,0,0:30:19,0:30:40,18,73
Running,18/01/2023,FALSE,Boggabri Running,5.01,431,0:32:48,172,191,152,167,6:33,4:48,51,56,1,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.6,6,0,0:32:34,0:32:48,251,280
Running,16/01/2023,FALSE,Boggabri Running,5.18,451,0:39:07,162,195,138,178,7:33,4:35,47,56,0.95,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:51.0,6,0,0:38:23,0:39:07,263,299
Cardio,15/01/2023,FALSE,Cardio,0,280,1:00:54,102,130,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:53.9,1,0,0:00:00,1:00:54,-6,-3
Cardio,13/01/2023,FALSE,Cardio,0,354,1:02:47,112,142,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:47.1,1,0,0:00:00,1:02:47,-4,2
Running,12/01/2023,FALSE,Newcastle Running,4.14,371,0:28:21,171,185,152,163,6:51,5:34,63,66,0.96,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:58.1,5,0,0:28:14,0:28:21,17,74
Cardio,11/01/2023,FALSE,Cardio,0,340,0:52:01,119,151,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,52:00.7,1,0,0:00:00,0:52:01,-1,10
Running,9/01/2023,FALSE,Newcastle Running,5.25,531,0:38:41,177,201,134,186,7:22,4:22,105,107,1,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:18.9,6,0,0:37:36,0:38:41,22,72
Running,2/01/2023,FALSE,Newcastle Running,4.55,473,0:37:09,173,191,138,174,8:10,5:17,72,77,0.88,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,04:22.0,5,0,0:35:32,0:37:09,-14,59
Running,26/12/2022,FALSE,Newcastle Running,5.37,483,0:39:38,166,188,151,167,7:23,5:35,74,86,0.9,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:13.8,6,0,0:39:18,0:39:38,-49,15
Cardio,10/12/2022,FALSE,Cardio,0,280,0:55:13,106,145,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,55:12.1,1,0,0:00:00,0:55:13,8,12
Running,6/12/2022,FALSE,Blackalls Park Running,5.01,430,0:32:02,177,190,161,168,6:23,5:09,28,31,0.97,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:03.6,6,0,0:32:00,0:32:02,-79,1
Running,12/11/2022,FALSE,Central Coast Running,21.67,"2,637",4:20:32,172,198,105,219,12:02,5:23,752,760,0.79,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,08:00.6,22,0,3:58:01,4:20:32,-13,148
Running,7/11/2022,FALSE,Newcastle Running,10.01,861,1:13:10,173,188,153,183,7:18,5:17,173,182,0.89,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:03.3,11,0,1:12:18,1:13:10,-84,-17
Running,2/11/2022,FALSE,Blackalls Park Running,5.01,386,0:30:11,177,189,164,170,6:02,5:00,29,36,1.01,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.8,6,0,0:30:09,0:30:11,-9,16
Running,25/10/2022,FALSE,Newcastle Running,5.35,436,0:34:56,175,189,158,165,6:32,4:59,66,70,0.97,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:51.9,6,0,0:34:51,0:34:56,-95,-60
Running,23/10/2022,FALSE,Newcastle Running,5.39,437,0:35:11,175,192,159,167,6:32,5:04,71,67,0.96,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:04.1,6,0,0:35:09,0:35:11,-101,-66
Running,10/10/2022,FALSE,Newcastle Running,5.41,374,0:32:59,157,188,161,170,6:06,3:59,66,67,1.02,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:04.9,6,0,0:32:58,0:32:59,-37,0
Running,26/08/2022,FALSE,Blackalls Park Running,5.01,374,0:28:19,179,193,163,181,5:39,3:56,21,30,1.08,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:03.0,6,0,0:28:17,0:28:19,-20,-4
Running,14/08/2022,FALSE,Newcastle Running,14.19,"1,166",1:50:58,162,185,131,192,7:49,3:23,222,220,0.98,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:47.7,15,0,1:43:14,1:50:58,8,81
Running,11/08/2022,FALSE,Newcastle Running,5.39,410,0:33:18,167,187,160,176,6:10,4:25,66,68,1.01,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:58.5,6,0,0:33:01,0:33:18,-39,-5
Running,9/08/2022,FALSE,Newcastle Running,5.39,433,0:35:07,169,190,157,173,6:31,4:48,56,73,0.98,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:55.4,6,0,0:35:06,0:35:07,-37,9
Running,7/08/2022,FALSE,Newcastle Running,10.07,855,1:13:14,164,181,151,174,7:16,5:06,171,172,0.91,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:26.4,11,0,1:12:00,1:13:14,-25,42
